l,T,S,
1.4, 2.3,0.144864, 
1.4, 2.4,0, 
1.4, 2.5,0, 
1.4, 2.6,0, 
1.4, 2.7,0, 
1.4, 2.8,0, 
1.4, 2.9,0, 
1.4, 3,0, 
1.4, 3.1,0, 
1.4, 3.2,0, 
1.4, 3.3,0, 
1.4, 3.4,0, 
1.4, 3.5,0, 
1.4, 3.6,0, 
1.4, 3.7,0, 
1.4, 3.8,0, 
1.4, 3.9,0, 
1.4, 4,0, 
1.4, 4.1,0, 
1.4, 4.2,0, 
1.4, 4.3,0, 
1.4, 4.4,0, 
1.4, 4.5,0, 
1.4, 4.6,0, 
1.4, 4.7,0, 
1.4, 4.8,0, 
1.4, 4.9,0, 
1.4, 5,0, 
1.5, 0.1,0.126263, 
1.5, 0.2,0.116235, 
1.5, 0.3,0.132241, 
1.5, 0.4,0.0531754, 
1.5, 0.5,0.0638893, 
1.5, 0.6,0.0663316, 
1.5, 0.7,0.0670045, 
1.5, 0.8,0, 
1.5, 0.9,0, 
1.5, 1,0, 
1.5, 1.1,0.102811, 
1.5, 1.2,0.200313, 
1.5, 1.3,0, 
1.5, 1.4,0, 
1.5, 1.5,0, 
1.5, 1.6,0, 
1.5, 1.7,0, 
1.5, 1.8,0, 
1.5, 1.9,0, 
1.5, 2,0, 
1.5, 2.1,0, 
1.5, 2.2,0, 
1.5, 2.3,0, 
1.5, 2.4,0, 
1.5, 2.5,0, 
1.5, 2.6,0.148586, 
1.5, 2.7,0, 
1.5, 2.8,0, 
1.5, 2.9,0, 
1.5, 3,0, 
1.5, 3.1,0, 
1.5, 3.2,0, 
1.5, 3.3,0, 
1.5, 3.4,0, 
1.5, 3.5,0, 
1.5, 3.6,0, 
1.5, 3.7,0, 
1.5, 3.8,0, 
1.5, 3.9,0, 
1.5, 4,0, 
1.5, 4.1,0, 
1.5, 4.2,0, 
1.5, 4.3,0, 
1.5, 4.4,0, 
1.5, 4.5,0, 
1.5, 4.6,0, 
1.5, 4.7,0, 
1.5, 4.8,0, 
1.5, 4.9,0, 
1.5, 5,0, 
1.6, 0.1,0.0763453, 
1.6, 0.2,0.0739516, 
1.6, 0.3,0.188044, 
1.6, 0.4,0.1222, 
1.6, 0.5,0.0707864, 
1.6, 0.6,0, 
1.6, 0.7,0.0845316, 
1.6, 0.8,0, 
1.6, 0.9,0.102982, 
1.6, 1,0, 
1.6, 1.1,0, 
1.6, 1.2,0, 
1.6, 1.3,0.119586, 
1.6, 1.4,0, 
1.6, 1.5,0, 
1.6, 1.6,0, 
1.6, 1.7,0, 
1.6, 1.8,0, 
1.6, 1.9,0, 
1.6, 2,0, 
1.6, 2.1,0, 
1.6, 2.2,0, 
1.6, 2.3,0, 
1.6, 2.4,0, 
1.6, 2.5,0, 
1.6, 2.6,0, 
1.6, 2.7,0, 
1.6, 2.8,0, 
1.6, 2.9,0, 
1.6, 3,0, 
1.6, 3.1,0, 
1.6, 3.2,0, 
1.6, 3.3,0, 
1.6, 3.4,0, 
1.6, 3.5,0, 
1.6, 3.6,0, 
1.6, 3.7,0, 
1.6, 3.8,0, 
1.6, 3.9,0, 
1.6, 4,0, 
1.6, 4.1,0, 
1.6, 4.2,0, 
1.6, 4.3,0, 
1.6, 4.4,0, 
1.6, 4.5,0, 
1.6, 4.6,0, 
1.6, 4.7,0, 
1.6, 4.8,0, 
1.6, 4.9,0, 
1.6, 5,0, 
1.7, 0.1,0.101882, 
1.7, 0.2,0.181903, 
1.7, 0.3,0, 
